,sentence,open_q,close_q,affirm,reflect,sd,b,sv,%,aa,ba,qy,ny,fc,qw,nn,bk,h,qy^d,bh,^q,bf,"fo_o_fw_""_by_bc",na,ad,^2,b^m,qo,qh,^h,ar,ng,br,no,fp,qrr,arp_nd,t3,oo_co_cc,aap_am,t1,bd,^g,qw^d,fa,ft
11,"Oh, okay.",0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
12,"
Yeah, it can be a little bit I do hear that from patients so are you and.",0,0,0,0,0.518289983,0.00067012,0.415400505,0.002871358,0.008867229,0.003275599,0.008122627,0.000405205,0.000816094,0.000280708,3.06E-05,0.000165127,0.001744748,0.002762182,2.64E-05,0.002107907,0.028152287,0.000365903,0.000794883,0.001348806,0.001593793,0.000400729,4.20E-05,0.000356135,0.000178653,0.000108878,0.000227267,2.43E-05,0.000151932,2.06E-05,1.83E-05,0.000158342,4.91E-05,8.65E-05,2.49E-05,1.58E-05,6.85E-06,1.98E-06,3.23E-05,9.73E-07,2.41E-06
13,How comfortable are you can take continuing to take it.,0,0,0,0,0.270330727,0.000687397,0.308788985,0.002320266,0.001836034,0.014543114,0.023804016,0.000694519,0.003676029,0.073779762,0.000461034,0.000409742,0.000887052,0.001256543,0.002510141,0.08194939,0.001520751,0.002318409,0.00050207,0.015658537,0.014632732,0.000893729,0.008895429,0.158078954,0.003222779,0.0003495,5.74E-05,0.000143503,0.000379608,0.000219388,0.000118875,0.000307302,0.001123782,0.001181015,0.000209366,0.001437458,0.000249011,1.09E-05,0.000504413,2.34E-05,2.69E-05
14,Okay.,0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
15,"
Gotcha.",0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
16,"
Okay.",0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
17,"Yeah, I mean,
we know because we taught you a one C was
was
9.4 so really high.",0,0,0,0,0.711655021,0.000588006,0.263263464,0.005359624,0.001764194,0.00081332,0.001686651,0.000505677,0.004666866,0.000237792,2.86E-05,0.000264111,0.000948596,0.002630453,1.47E-05,0.001550721,0.000721806,0.00030245,0.000294093,0.000566248,0.000246067,0.000270351,6.84E-05,0.00013638,0.000544939,7.52E-05,0.00025886,6.64E-06,0.000118798,4.04E-05,1.49E-06,0.000155111,2.34E-05,0.000100624,1.15E-05,9.01E-06,7.05E-06,1.93E-06,5.85E-05,7.30E-07,2.11E-06
18,"Just recently, so we do.",0,0,0,0,0.655037344,0.004594233,0.184642509,0.034204829,0.002905963,0.000911886,0.003904502,0.000325011,0.003548134,0.001591518,0.000201992,0.000782462,0.005094144,0.009669485,0.00029621,0.003854585,0.032316063,0.003828386,0.004899065,0.010986415,0.015778618,0.00951414,0.000311055,0.002317025,0.001252978,0.000806903,0.000915518,0.000442098,0.000401717,0.000118372,0.000287662,0.001006748,0.000945013,0.000468925,0.000440259,0.000348448,0.000250021,0.000145678,0.000509192,7.47E-05,7.02E-05
19,"You know, I think it's great that you can that medication will help because not only will it bring down your blood sugar's but studies have shown that it prevents against heart protects against heart attack.",0,0,1,0,0.201238483,1.69E-05,0.793782651,2.99E-05,0.00034228,0.00056411,0.001597097,1.06E-05,0.000155404,2.65E-06,3.22E-07,4.82E-06,1.30E-05,0.000318328,1.36E-06,0.000157939,0.001641981,2.02E-05,2.13E-05,4.23E-05,1.23E-05,4.02E-06,1.52E-06,8.94E-06,1.25E-06,3.68E-06,8.17E-07,2.94E-07,1.14E-06,1.01E-07,4.05E-08,3.52E-06,2.93E-07,1.63E-07,2.95E-07,1.79E-08,2.93E-08,1.00E-08,6.06E-08,6.05E-09,4.29E-08
20,"
Sure.",0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
21,"
Yeah, expected.",0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
22,"
I'm sorry.",0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
23,I mean one of the things we want to do here because I'm a doctor and I want to keep you healthy so you know I'm really worried about your diabetes the motor control.,0,0,0,0,0.589482784,3.81E-05,0.402703255,0.000228827,0.000178472,2.18E-05,0.000429874,3.74E-05,0.001156933,2.56E-05,7.30E-06,1.12E-05,8.40E-05,0.000110575,3.89E-06,0.003584475,0.00025145,7.66E-05,4.54E-05,0.000868755,5.86E-05,1.76E-05,7.26E-06,0.00022594,9.46E-05,3.16E-05,1.09E-05,2.95E-06,3.59E-05,4.09E-06,2.61E-06,3.94E-05,4.74E-05,5.69E-05,2.63E-06,1.62E-06,1.41E-06,8.92E-07,8.85E-06,7.40E-07,1.30E-06
24,"Do
I feel like we've talked about this before but.",0,0,0,0,0.353650212,0.002194822,0.010279425,0.009373657,0.001279027,0.001279432,0.381282628,0.005331743,0.01250382,0.000508399,0.000364708,0.00747832,0.001254282,0.044232011,0.011010236,0.042485848,0.032499257,0.005819574,0.003769519,0.029449929,0.004415062,0.006480079,0.00570563,0.003268369,0.003639568,0.002868845,0.001727027,0.000694444,0.003843859,0.001477349,0.000312159,0.002142918,0.00141421,0.002250061,0.000724081,0.000157473,0.000292645,0.000510378,0.000787123,0.000492044,0.000749685
25,"
Do you remember where what we've shared or what we've talked about is the risk for uncontrolled diabetes.",0,0,0,0,0.399427146,0.00092573,0.004682946,0.004169324,0.000645783,0.00046555,0.454446077,0.002314544,0.003595554,0.028517526,0.000161009,0.002871873,0.000317641,0.006921717,0.010840675,0.013193256,0.005595878,0.007208263,0.002229943,0.0038171,0.002988303,0.002598291,0.005227959,0.02830969,0.001424311,0.001231259,0.000133593,0.000527177,0.000585249,0.000843371,0.00012342,0.00043028,0.001331949,0.000355535,3.62E-05,0.00049953,5.02E-05,0.000352843,0.000358766,0.000134973,0.000109504
26,What are the health concerns.,0,0,0,0,0.121661305,0.002171993,0.045022629,0.00742583,0.003866724,0.01364669,0.020337053,0.001893996,0.003954643,0.421149582,0.005796455,0.001418415,0.00324577,0.003279431,0.019463751,0.024455544,0.007127991,0.003999072,0.006759097,0.006282616,0.015322284,0.009460713,0.104416341,0.060506128,0.008026501,0.004852864,0.001707539,0.007248047,0.001448628,0.003307421,0.002773889,0.003033689,0.013860411,0.000845081,0.002161545,0.028199967,0.001387373,0.000678896,0.00639613,0.000989997,0.000417975
27,Is it okay if I share.,0,0,0,0,0.04615394,0.05025734,0.033826776,0.029739389,0.021396076,0.0030119,0.372232407,0.004196234,0.024976373,0.002840449,0.002026529,0.065730274,0.004689328,0.027973548,0.064773172,0.06799569,0.002260576,0.051382437,0.001732061,0.006105429,0.013316825,0.004689785,0.000662502,0.061124831,0.004822995,0.003726755,0.002629808,0.001378568,0.006513767,3.60E-05,0.000415889,0.00124071,0.001567826,0.001475806,0.000621024,0.000902215,0.008503945,0.001962509,0.000882828,0.00010782,0.000117736
28,"Okay, if I share the specific risks
of high blood sugars.",0,0,0,0,0.939273894,2.65E-05,0.055203252,0.000106286,0.000140508,8.75E-05,0.003558359,2.37E-05,5.51E-05,7.78E-06,1.35E-06,1.62E-05,4.04E-05,0.00084552,4.37E-06,4.99E-05,0.000261914,9.31E-06,0.000106083,2.39E-05,3.97E-05,2.71E-05,5.31E-06,7.27E-06,5.24E-06,5.96E-06,3.97E-05,1.92E-06,1.20E-05,7.53E-07,2.70E-07,7.93E-06,1.26E-06,1.06E-06,3.25E-07,2.75E-07,3.94E-07,3.72E-07,1.33E-06,4.95E-08,7.21E-08
29,"
Okay, so it's heart attack, stroke, kidney failure blindness.",0,0,0,0,0.934147418,7.98E-05,0.064231098,0.000188454,0.000334105,0.000311785,8.84E-05,1.53E-05,6.83E-05,5.04E-06,8.60E-07,4.42E-06,2.12E-05,0.000112925,1.15E-06,1.83E-05,0.000129232,1.92E-05,0.000103142,6.46E-06,5.69E-05,2.77E-05,8.83E-07,1.03E-05,3.25E-06,5.75E-06,3.66E-06,7.39E-07,1.39E-06,3.33E-07,1.80E-08,1.45E-06,2.43E-07,2.44E-07,1.21E-07,1.47E-07,1.50E-07,2.19E-08,3.03E-07,1.19E-08,7.39E-09
30,Those are really like major common complications of diabetes.,0,0,0,0,0.003409824,3.06E-05,0.992182553,2.90E-05,0.000460902,0.000233258,0.000576111,4.39E-05,7.75E-05,2.28E-05,6.80E-06,6.49E-06,2.38E-05,0.00010393,2.96E-05,8.77E-05,0.00159377,1.49E-05,0.000475333,2.82E-05,0.000163494,2.52E-05,4.71E-05,0.000158963,1.54E-05,3.31E-05,2.31E-05,2.53E-05,9.12E-06,4.49E-06,5.27E-06,1.23E-05,1.23E-05,1.24E-06,1.62E-05,6.46E-07,4.02E-06,8.39E-07,3.95E-06,9.09E-08,1.05E-06
31,Did you know your sister passed from.,0,0,0,0,0.083523974,0.000164538,0.011503155,0.000630921,0.000449141,0.000485866,0.820662022,0.000416336,0.000991113,0.000625225,4.44E-05,0.000224274,0.000139169,0.035402659,0.001880708,0.007587981,0.02613285,0.000972556,0.000175763,0.001247576,0.002226549,0.001378163,0.000143274,0.001528484,5.66E-05,0.000285008,7.79E-05,0.000125738,9.70E-05,8.95E-05,0.000150767,0.000128456,6.77E-05,0.000122251,2.87E-05,1.65E-05,2.60E-05,8.19E-05,5.05E-05,7.18E-06,5.15E-05
32,She.,0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
33,She had any right but she did have a heart attack.,0,0,0,0,0.941838384,0.000107551,0.008030967,0.000178077,0.001135519,9.36E-05,0.011255201,6.01E-05,0.000246131,1.72E-05,4.41E-06,9.32E-05,3.68E-05,0.004135347,5.01E-05,0.000102992,0.003900759,0.000118661,0.025812564,2.01E-05,0.000313384,0.000167887,1.84E-05,1.15E-05,4.72E-05,4.34E-05,0.001426448,2.36E-05,0.000307026,2.01E-05,4.04E-05,0.000211731,2.34E-05,1.46E-05,7.68E-06,1.34E-05,3.85E-06,4.98E-05,1.23E-05,1.75E-06,4.50E-06
34,"Yeah, okay.",0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
35,Yeah.,0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
36,"And generally speaking, for African Americans, we
know that heart you
know heart diseases of childhood my father passed for a heart attack and he was only.",0,0,0,0,0.972824812,3.01E-06,0.027044615,1.28E-05,1.66E-05,9.78E-06,3.00E-05,1.60E-06,5.91E-06,2.70E-07,8.11E-09,2.22E-07,5.56E-06,1.68E-05,5.58E-09,2.25E-07,9.23E-06,3.78E-07,2.42E-06,7.74E-08,3.62E-07,1.44E-05,3.99E-08,1.16E-07,8.81E-08,6.25E-08,1.49E-07,5.25E-09,1.48E-07,3.88E-08,4.86E-10,4.50E-08,5.00E-09,3.03E-09,4.47E-09,2.34E-09,5.73E-10,7.63E-11,1.50E-08,8.64E-11,6.11E-11
37,"He was 62, he was young.",0,0,0,0,0.933453321,0.000809957,0.02902336,0.006564044,0.003308456,0.000281165,0.001077788,0.000100541,0.003374472,0.000269596,5.48E-05,0.000173779,0.000336256,0.000733055,3.91E-05,0.003807053,0.002546777,0.000211022,0.008486386,0.00014888,0.000643816,0.000618623,2.44E-05,9.56E-05,0.000655714,0.000207675,0.001017699,5.26E-05,0.000251373,0.000246647,0.00012364,0.000539926,0.000154476,7.74E-05,5.47E-05,0.000180004,4.30E-05,9.96E-05,5.82E-05,1.12E-05,4.38E-05
38,"
So,
yes, so, you know,
you It runs in your family so we definitely want to get on top of getting your, your diabetes controlled, because I want to prevent that I'm sure you do too want to prevent having a heart attack or a stroke, kidney failure and blindness.",0,0,0,0,0.688713789,3.50E-05,0.306254625,0.000103874,0.000312951,0.000158772,0.001953479,1.82E-05,7.14E-05,3.38E-06,2.25E-07,1.94E-06,1.46E-05,0.000366366,5.57E-07,9.69E-05,0.001722186,1.87E-05,3.37E-05,3.66E-05,4.95E-05,8.26E-06,3.64E-07,1.51E-05,1.62E-06,2.20E-06,1.02E-06,4.79E-07,1.35E-06,1.21E-07,9.88E-08,1.31E-06,3.38E-07,6.15E-07,1.27E-07,5.11E-08,3.38E-08,2.33E-08,1.43E-07,5.95E-09,9.52E-09
39,"Well, how can I best support that for you.",0,0,0,0,0.300858319,0.003228513,0.475290209,0.006583278,0.014104784,0.015317092,0.00990547,0.001682849,0.003001543,0.013117144,0.000829886,0.000959562,0.002820149,0.002552789,0.000430325,0.049390197,0.007620134,0.002071508,0.001436528,0.009165773,0.018261939,0.001124794,0.001234277,0.053588223,0.001596789,0.000562099,0.000159232,7.42E-05,0.000520545,0.000118114,7.71E-05,0.000161487,0.000334675,0.000516947,8.45E-05,0.000542833,9.76E-05,2.10E-05,0.000530632,1.16E-05,1.54E-05
40,"Yeah, I mean it is, you know, making lifestyle changes can be challenging but it's, you know, renting I think that could help support it's just to break it down so it feels less overwhelming or It feels like such less of a big project.",0,0,0,0,0.229384199,3.93E-05,0.766052008,0.000321134,0.000204909,0.000163142,0.000744022,2.73E-05,8.29E-05,6.49E-06,6.64E-07,8.43E-06,4.29E-05,0.000320897,1.42E-06,2.49E-05,0.002301323,1.04E-05,6.04E-05,6.41E-05,6.81E-05,8.44E-06,2.26E-06,1.44E-05,1.74E-05,6.61E-06,5.12E-06,6.31E-07,4.54E-06,2.27E-07,1.11E-07,7.90E-06,6.48E-07,1.64E-06,4.34E-07,9.91E-08,1.41E-07,8.10E-08,4.98E-07,1.22E-08,4.64E-08
41,So I can help you focus on one thing you know one thing at a time.,0,0,0,0,0.472956866,9.82E-05,0.485767215,0.000657893,0.000400655,0.000436715,0.003259306,6.72E-05,0.001800495,0.000207608,2.19E-05,4.01E-05,0.002244011,0.006681216,3.94E-05,0.009886806,0.003265133,0.00047133,0.000119569,0.007827775,0.001270168,0.000146731,4.53E-05,0.001124406,0.000269021,8.41E-05,7.31E-05,1.08E-05,0.00016477,4.67E-06,7.83E-06,0.000127731,5.69E-05,0.000227082,3.42E-05,6.82E-06,1.25E-05,2.78E-06,7.32E-05,3.98E-06,4.33E-06
42,So you've done a good job you know you have sounds like you're taking the new medications.,0,0,1,1,0.218770817,0.000293138,0.598819435,0.000753852,0.001360687,0.004867548,0.015138337,0.000170858,0.005028985,0.000397857,2.92E-05,0.000251056,0.000742803,0.026534336,4.96E-05,0.002322173,0.11825949,0.000549723,0.000681913,0.002308702,0.000544788,0.000529348,0.000260703,0.000119232,0.000277879,0.00014526,8.74E-05,1.15E-05,8.96E-05,4.86E-05,1.14E-05,0.000315287,5.59E-05,5.22E-05,6.12E-05,7.80E-06,1.16E-05,2.33E-06,2.12E-05,1.55E-06,1.47E-05
43,So that's great you've made a positive step that way.,0,0,1,0,0.298650056,0.000511728,0.65291214,0.001849166,0.001163439,0.0194869,0.001272069,6.47E-05,0.000842174,0.000256794,3.58E-05,0.000106511,0.00186654,0.001267267,4.24E-05,0.007799601,0.006901245,0.000677498,0.00054604,0.001057024,0.000888291,0.000123323,0.000114475,0.00055637,0.000483587,0.000133635,2.21E-05,9.65E-06,0.000112957,1.28E-05,3.89E-06,0.000103122,1.54E-05,3.92E-05,2.42E-05,9.75E-06,2.56E-05,1.71E-06,8.40E-06,4.08E-07,2.05E-06
44,"I know that last time we talked about checking your blood sugar's more regularly so where did you lead with blood sugar checks are you using, did you pick up the continuous glucose monitor or are you just gonna prick your fingers.",0,0,0,0,0.951110303,1.62E-05,0.021663496,8.57E-05,7.53E-05,0.000157299,0.023241535,6.40E-05,0.000988423,0.000159819,8.60E-06,6.88E-05,4.84E-05,0.000587945,2.46E-05,0.000205519,3.65E-05,0.000263241,0.000244433,0.000221609,1.69E-05,6.46E-06,0.000151829,7.36E-05,0.000279221,1.73E-05,3.50E-05,9.07E-06,4.20E-05,7.57E-06,1.46E-07,4.67E-05,8.72E-06,2.47E-05,2.72E-07,5.86E-07,4.25E-07,2.82E-07,6.32E-06,5.83E-07,4.79E-07
45,"
Okay.",0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
46,So yeah.,0,0,0,0,0.216710135,0.019949153,0.094131306,0.360984415,0.005535545,0.005904928,0.01520275,0.002058885,0.01138898,0.011384893,0.002614011,0.003894807,0.031504624,0.022079254,0.00359377,0.010888816,0.033336878,0.00863064,0.008769636,0.016400348,0.010989419,0.016062971,0.004126861,0.006738672,0.015139648,0.006891004,0.007235246,0.002556298,0.003569466,0.00297912,0.002388084,0.009513989,0.002031824,0.002970392,0.003940812,0.005265718,0.002930285,0.002700218,0.005025335,0.00075521,0.00122554
